,question,actual_answer,category,table_id,predicted_answer
439,What is the name of the rockets of the Baikonur cosmodrome?,Kosmos 3,launchpad,630,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the Davis Cup was in 1"
440,Which year first launch the Baikonur cosmodrome?,"October 24, 1960",launchpad,630,Question 3: Which year did Baikonur
441,"During its years of operation, which of Baikonur Cosmodrome's launch pads had the most launches?",Site 41/4,launchpad,630,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the"
442,Which two Baikonur Cosmodrome launch pads had their last launch in 1967?,Site 41/3 and Site 41/4,launchpad,630,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1"
443,"Subtracting the launches at Site 41/4, how many launches occurred at Baikonur Cosmodrome?",53,launchpad,630,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Since he passed away in 1995, the last time he won the Davis"
444,How long did it take for Verisign to reach over 900 employees?,26 years,website,632,Question 3: How long did it take for Ver
445,When is Verisign Inc was founded?,"April 12, 1995",website,632,Question 3: When was Verisign Inc
446,Who is the founder of Verisign Inc?,James Bidzos,website,632,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the Davis Cup was in 1"
447,Who was the CEO in 1995?,James Bidzos,website,632,Question: Who was the CEO in
448,What was Verisign's operating income the year the number of employees reached 904?,866 million,website,632,Question 3: What was Verisign's operating
449,How many employees  worked Verisign Inc in 2021?,904,website,632,Question: How many employees worked at Verisign Inc in 202
450,"Is net income of Verisign, Inc. was reduced in 2021 compared to 2020?",Yes,website,632,"Question: Is net income of Verisign, Inc"
451,"How many employees are working for Verisign, Inc. in 2021?",904,website,632,Question 3: How many employees are working for Veris
452,"Who was the CEO of Verisign, Inc. in 2022?",James Bidzos,website,632,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the Davis Cup was in 1936"
453,When was the last time that Brodie Merrill won a World Indoor Lacrosse Championship?,2015,lacrosse,645,"Reasoning: Charles Brenton Huggins was born on September 22, 1901, and won the Nobel Prize in 1966. Therefore, he was 65 years"
454,When was the first time that Brodie Merrill was a winner in the World Lacrosse Championship?,2006,lacrosse,645,Question: When was the first time that Brodie Merrill was a winner in the World Lacrosse Championship
455,How many times did Brodie Merrill awarded Transition Player of the Year from 2005?,"Three (2009-10, 2017)",lacrosse,645,Question: How many times did Brodie Merrill awarded Transition Player of the Year from 2005?
456,What was the age when Brodie Merrill awarded Rookie of the Year 2005?,Age of 24,lacrosse,645,Question: What was the age when Brodie Merrill awarded Rookie of the Year in 2005?
457,How many times did Brodie Merrill won World Indoor Lacrosse Championship from 2007?,Three,lacrosse,645,Question: How many times did Brodie Merrill won World Indoor Lacrosse Championship from 20
458,What other awards did Brodie Merrill win the same year he was named Rookie of the Year for the MLL?,"USILA Schmeisser Award, ECAC Defensive Player of the Year, Steinfeld Cup Champion",lacrosse,645,Question 3: What other awards did Brodie Merrill
459,How many awards did Brodie Merrill win the year he won the World Indoor Lacrosse Championship in Halifax?,1,lacrosse,645,Question 3: How many awards did Brodie Merrill win the year he won the World Indoor Lacros
460,What age was Brodie Merrill when he was drafted to the NLL?,25,lacrosse,645,41 years old
461,How old was Brodie Merrill when he turned pro?,24,lacrosse,645,Reasoning: The context provided states that Frederick John Perry won the Davis Cup four times
462,What years did Casey Powell win any medal in world championships?,"2006, 2011, 2015",lacrosse,646,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, 1936 is the last time he"
463,How long before the end of Casey Powell's professional career did he win a medal for the Onondaga nation?,1 year,lacrosse,646,Question 3: How long before the end of
464,How old was Casey Powell when he was inducted into the U.S. Lacrosse Hall of Fame?,41 years,lacrosse,646,Frederick John Perry won the Davis Cup in 1936.
465,How many years ago did Casey Powell played for Syracuse University Team?,24 Years ago,lacrosse,646,Question 3: How many years ago did Casey
466,How many years did Casey Powell playing career?,17 Years,lacrosse,646,Question: How many years
467,How many medals won by Casey Powell in World Indoor Lacrosse Championship from 2011?,Two,lacrosse,646,Question 3: How many medals won by Casey Powell in World
468,When was the last time that Casey Powell won a medal in the World Indoor Lacrosse Championship?,2015,lacrosse,646,Question:
469,How old was Casey Powell when he was drafted into the NLL?,22,lacrosse,646,Question: How old
470,How many years after being drafted was Casey Powell entered into the US Lacrosse Hall of Fame?,19,lacrosse,646,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the Davis Cup was"
471,How many gold medals did Aaron Peirsol win in the 2004 Athens games?,3,swimming,660,"Therefore, the answer is 4 gold medals."
472,How old was Aaron Peirsol when he won silver at the 2000 Sydney Olympics?,17 years old,swimming,660,"reasoning : Based on the information provided in the context, Aaron Peirsol was born on July 23, 1983, and won the silver medal at the 2000 Sydney Olympics in 2000, when he was 27 years old."
473,How many major gold medals did Aaron Peirsol win in 2004?,6,swimming,660,"Therefore, the answer to the question is: Aaron Peirsol won 6 major gold medals in 2004."
474,In which city did Aaron Peirsol win the most gold medals in World Championships?,Barcelona,swimming,660,"Answer and Reasoning: Based on the information provided, Aaron Peirsol won the most gold medals in World Championships in Melbourne, Australia. He won 6 gold medals in World Championships held in Melbourne in 2007, 2009, and 2010. Therefore, the answer is Melbourne."
475,How old was Aaron Peirsol when he first won an Olympic gold medal?,21,swimming,660,"Reasoning: Aaron Peirsol was born on July 23, 1983, which means he was 23 years old when he first won an Olympic gold medal in 2004."
476,What medal did Aaron Peirsol win in the 200 m backstroke in the 2008 Beijing Olympics?,Silver,swimming,660,"Reasoning: According to the information provided in the context, Aaron Peirsol won a gold medal in the 200 m backstroke event at the 2008 Beijing Olympics. The answer can be found in the ""Olympic Games"" section of the context, where it is mentioned that Peirsol won a gold medal in this event."
477,How many years did it take for Aaron Peirsol to win all the Olympic medals?,4 years,swimming,660,"Reasoning: Charles Brenton Huggins was born on September 22, 1"
478,At what age did Aaron Peirsol win the Winnipeg Pan American Games silver medal?,16 years,swimming,660,"Reasoning: According to the information provided, Aaron Peirsol won the Winnipeg Pan American Games silver medal in 1999 when he was 23 years old."
479,How many years after the Athens Olympic gold medal did Aaron Peirsol win the Rome World Championships medal?,5 years,swimming,660,"explanation: Aaron Peirsol won the gold medal at the Athens Olympic games in 2004, and then won the Rome World Championships medal in 2009, 6 years later."
480,What year did Hannah Mills win her first Gold medal in Rio de Janeiro?,2016,sailor,675,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the last time he won the Davis Cup was in 19"
481,How old was Hannah Mills when she won the silver medal in the Olympic games?,24 years old,sailor,675,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1"
482,What age did Hannah Mills win her first Olympic gold medal?,28,sailor,675,Re
483,What is the difference in Hannah Mills' ranking in 2022 compared to her highest ranking?,6 ranks lower,sailor,675,Question: What is the difference in Hannah Mills' ranking in
484,How many gold medals did Hannah Mills win over her athletics career?,7,sailor,675,4.
485,How many days ago did Hannah Mills was got her highest rank?,250 days ago,sailor,675,Question: How many days ago did Hannah Mills get her highest
486,How many gold medals won by Hannah Mills in Olympic Games since 2016?,Two,sailor,675,Question: How many gold medals won by Hannah Mills in Olympic Games since
487,Which country did Hannah Mills is representing since 2007?,Great Britain,sailor,675,Question: Which country did Hannah Mills is representing since 20
488,How old was Hannah Mills when she won the gold in the 2007 European Junior Championships?,19 years old,sailor,675,Question: When was the last time that Frederick John Perry won the Davis Cup?
489,How many World championship medals did sailor Paul Bert Elvstrøm win in 1958?,2,sailor,694,Question: How old was Charles Brenton Huggins when he won the Nobel
490,In which city did sailor Paul Bert Elvstrøm win a World championship medal most often between 1957 and 1972?,Copenhagen,sailor,694,
491,"Between 1948 and 1956, sailor Paul Bert Elvstrøm won how many Olympic gold medals?",3,sailor,694,"Reasoning: The passage states that Elvstrøm won gold medals in the Finn class at the 1948, 19"
492,How many years ago did Paul Elvstrøm first participated in World championships?,65 Years ago (1957),sailor,694,"Reasoning: According to the information provided in the context, Paul Elvstrøm first participated in World championships in 1957."
493,How many times did Paul Elvstrøm was reached first place in Olympic Games from 1948?,4 Times,sailor,694,4 times. Paul Elvstrøm won the gold medal in the Finn class
494,What is the nationality of Paul Elvstrøm in 2000?,Danish,sailor,694,Question: How old was Charles Brenton Huggins when he won
495,Where did Paul Elvstrøm win his last Olympic Gold medal in 1960?,Rome,sailor,694,"Reasoning: Charles Brenton Huggins was born on September 22, 1901, and won the Nobel Prize in Physiology or Medicine in 1966. Therefore, he was 65 years old when he won"
496,How old was Paul Elvstrøm the year he win first gold medal in 1948?,20 years old,sailor,694,"Reasoning: According to the information provided, Frederick John Perry won the Davis Cup four times, including in"
497,Where did Paul Elvstrøm win his 1948 Olympic gold?,London,sailor,694,"Reasoning: According to the provided information, Charles Brenton Huggins was born on September 22, 1901, and"
498,For what amount of time has this church remained active?,86 years,church,720,Question: For what amount of time has this church remained active?
499,What was the construction cost of  All Saints' Church in 1936?,"£4,142",church,720,Question: What was the construction cost of All Saints' Church in
500,What are the capacity of All Saints' Church?,200,church,720,
501,who is the minister of All Saints' Church?,Reverend Vivien Harber,church,720,Question: Who is the minister of All Saints' Church?
502,How long after it was consecrated was it designated a heritage site?,Nearly 54 years,church,720,Question: How long after it was consecrated was it designated a her
503,Where is located All Saints' Church?,New Zealand,church,720,Answer
504,How many different sub-groups of administration does this church have?,Three,church,720,Question: How many different sub-groups of
505,How many years ago did All Saints' Church was Consecrated?,86 years ago,church,720,Question: How many years ago did All Saints' Church was Consec
506,How many years completed when All Saints' Church was categorized as Heritage New Zealand ?,32 Years completed,church,720,Question: How many years completed when All Saints' Church was categor
507,How long is the Panama Canal?,51 miles,monument,724,Question 3: How long is the Panama
508,How long did it take to complete the Panama Canal?,10 years,monument,724,Question 3: How long did it take to complete
509,How many years ago was the Panama Canal expansion completed as of 2021?,5 years,monument,724,Question 3: How many years ago was the Pan
510,Who was the Principal engineer of Panama Canal one year after construction was started?,John Findley Wallace,monument,724,"Reasoning: Frederick John Perry won the Davis Cup in 1933, 1934, 1935, and 1936, so the last time he won was in"
511,How many years did Panama Canal take to be completed?,10 years,monument,724,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the Davis Cup"
512,How many years after John Findley Wallace did George Washington Goethals become Principal engineer?,2 years,monument,724,Question 3: How many years after John Findley Wal
513,What year was the Panama Canal completed?,1914,monument,724,Question 3: What year was the Panama
514,How many years were there between the completion of the Panama Canal and the expansion in 2016?,102 years,monument,724,Question 3: How many years were there between the
515,How many times has the Panama Canal been extended?,1,monument,724,"Reasoning: Frederick John Perry won the Davis Cup in 1933, 1934, 1935, and 1936, so the last"
516,Which country did Katarina Witt participated in 1979?,East Germany,figure skating,739,Question: Which country did Katarina Witt participate in 1
517,Where did Katarina Witt win her first medal in the 1982 European Championships?,Lyon,figure skating,739,Question: Where did Katarina Witt win her first medal in the
518,For how many years consecutively did Witt win a medal in some form?,Seven,figure skating,739,Question: For how many years consecutively did Witt win a
519,How many Olympic golds has Witt won?,Two,figure skating,739,
520,How many golds in any form did Witt win?,12,figure skating,739,Question: How many golds in any form did Witt win?
521,What year did Katarina Witt win her first gold Olympic Medal?,1984,figure skating,739,Question: What year did Katarina Witt win her first gold Olympic
522,How old was Katarina Witt when she won her first gold medal in 1984 Sarajevo Olympics?,19 years old,figure skating,739,Question: How old was Katarina Witt when she won her first gold medal in 1984 Sarajevo Olympics?
523,How many gold medals won by Katarina Witt from 1984-1988?,Two,figure skating,739,Question: How many gold medals won by Katarina Witt from
524,What was age when Katarina Witt won first silver medal in European Championships 1982?,Age of 17,figure skating,739,Question: What was the age when Katarina Witt won her first
525,In what city did Mukhortova win a medal they year she achieved her best score for free skate?,Helsinki,figure skating,746,Question 3: In what city did Mukhortova win a medal when she achieved
526,How many coaches did Maria Mukhortova have over her skating career?,four,figure skating,746,"Reasoning: Charles Brenton Huggins was born on September 22, 1901, and he won the Nobel Prize in Physiology or Medicine in 1966, when he was 65"
527,Which of Maria Mukhortova partners did she not win a medal with?,Egor Golovkin,figure skating,746,Question 3: Which of Maria Mukhort
528,In what city did Maria Mukhortova and Maxim Trankov win medals in multiple years?,Helsinki,figure skating,746,Answer
529,How many years were between Mukhortova's bronze medal at the Tallinn European Championships and her bronze at The Hague World Junior Championships?,6,figure skating,746,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the last time he won"
530,"Prior to Maria Mukhortova's gold medal in the World Junior Championships in 2005, how many championship bronze medals had she won?",four,figure skating,746,Question 3: Prior to Maria Mukhortova's
531,How old was Mukhortova when she won her first gold medal?,19,figure skating,746,Question: How old was Mukhortova when she won her
532,How old was Maria Mukhortova when she won a silver medal in pairs figure skating in Tarvisio?,18 years,figure skating,746,"Reasoning: According to the information provided, Frederick John Perry won"
533,"After Maria Mukhortova's silver medal placement in 2003, how many years would pass before she won another silver medal?",five,figure skating,746,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the last time he won the Davis Cup was in 193"
534,When did Rajendra 1 breathe his last?,1044 CE,emperor,766,I hope this helps! Let me know
535,What were titles adopted by Rajendra 1?,Senathipathi and Chakravarti,emperor,766,"King of Polonnaruwa, King of Ru"
536,Who was the successor of Rajendra 1?,Rajadhiraja I,emperor,766,Reason
537,How many years into Rajendra I reign as Chola Emperor did Rajendra I become King of Polonnaruwa or King of Ruhuna?,6,emperor,766,Question: How many years into Rajendra I's reign as Chola Emperor did Rajendra I become King of Polonnaruwa
538,What was Rajendra I's rank when he was 37 years old?,Senathipathi,emperor,766,Senathipath
539,What was the total amount of years that Rajendra I reigned as Chola Emperor?,31,emperor,766,2
540,How old was Lord Chandikeswara when his reign as King of Polonnaruwa/King of Ruhuna began?,36,emperor,766,Question: How old was Lord Chandikeswara when his reign as King of Polonnaruwa/King of Ruh
541,Rajendra I last reigned as the co-regent of the Chola Empire how many years before he died?,30,emperor,766,Question: Rajendra I last reigned as the co-regent of the Chola Empire how many years before he died?
542,Rajendra I first had the rank of Chakravarti at what age?,43,emperor,766,99
543,How many years before becoming the Chola Emperor did Rajendra I become Co-Regent?,2,emperor,766,
544,How much longer was Lord Chandikeswara's reign as Chola Emperor than Co-Regent of the Chola Empire?,28 years,emperor,766,Question 3: How much longer was Lord Chandikeswara's reign as Chola Emperor than Co
545,What was Lord Chandikeswara's rank the year he died?,Chakravarti,emperor,766,Chakravart
546,How many medals did Petzold win a year after turning 18?,2,skier,775,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the Davis Cup was in"
547,How many years are between Petzold's first silver medal and her first gold medal?,6,skier,775,Question: How many years are between Petzold's first silver
548,What year did Barbara Petzold win a bronze medal in the Olympics?,1976,skier,775,Question 3: What year did Barbara Petz
549,How old was Barbara Petzold when she won her first silver medal in the World Championships?,19 years old,skier,775,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the Davis Cup was in 19"
550,Which country did Barbara Petzold represented in Olympic Games in 1976?,East Germany,skier,775,Question: Which country did
551,How many more medals did Petzold win in the 70's than in the 80's?,1,skier,775,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the"
552,How old was Barbara Petzold when she won gold twice in 1980 Lake Placid Olympics?,25 years old,skier,775,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the Davis Cup was in 19"
553,What was the age when Barbara Petzold first participated in World Championships 1974?,Age of 19,skier,775,Question: What was the age when Barbara Petzold first
554,How many gold medals won by Barbara Petzold in 1980 Olympic Games?,Two,skier,775,3. How many gold medals won by Barbara Petzold in 1
555,"Which is greater, the amount of medals won at Tokyo by Dimitrij Ovtcharov or the amount of medals won at Liège?",Tokyo,tabletennis,787,Reasoning: The information provided in
556,What was the last Olympic games Dimitrij Ovtcharov competed in and won a bronze medal?,2020 Tokyo,tabletennis,787,2012. Dimitrij Ovtcharov
557,How many years before winning bronze in the Tokyo Olympics did Ovtcharov win a gold at the Stuttgart European Championships?,11,tabletennis,787,Answer
558,What year did Dimitrij Ovtcharov receive his highest ranking?,2018,tabletennis,787,"Reasoning: According to the information provided, Dimitrij Ovtcharov reached his highest ranking of 1st in the world in 2018. This is evident from the table provided, which shows his ranking for various tournaments and events throughout his career. The ranking of 1st is indicated for the month of January 2018, which suggests that this was the highest ranking he achieved during that particular time period."
559,During which year did Ovtcharov win the most gold medals in any international competition?,2013,tabletennis,787,"Reasoning: The information provided in the context shows that Ovtcharov has won several gold medals in international competitions, including the World Cup, Olympic Games, and European Championships. The answer of 2017 is based on the information provided in the context and the reasoning that 2017 is the year when Ovtcharov won the most gold medals in any"
560,How old was Dimitrij Ovtcharov when he won bronze at the 2020 Tokyo Olympics?,32,tabletennis,787,"Reasoning: We can find Dimitrij Ovtcharov's date of birth in the provided context, which states that he was born on September 2, 1988. Therefore, as of the 2020 Tokyo Olympics, which took place in July 2020, Dimitrij Ovtcharov was 32 years old."
561,How many spots has Dimitrij Ovtcharovl decreased from his top ranking?,six,tabletennis,787,"Reasoning: According to the information provided in the context, Dimitrij Ovtcharov's highest ranking was 1st, and his current ranking is 7th. Therefore, he has decreased 8 spots from his top ranking."
562,How long after winning silver at Tokyo did Dimitrij Ovtcharov win another?,four years,tabletennis,787,"Answer and Reasoning: Dimitrij Ovtcharov won another silver medal at the 2020 Tokyo Olympics, which means he won another silver medal 12 years after winning his first silver medal at the 2008 Tokyo Olympics. (2008 - 2020 = 12 years)"
563,How old was Ovtcharov when he won silver in the Beijing Olympics?,20,tabletennis,787,"According to the context, Frederick John Perry won the Davis Cup in 1936, which means the last time he won the competition was 66 years"
564,How long was Kelly Ryan's pro career?,7,body builder,794,Retired in 2
565,How long after Kelly Ryan married Craig Titus did she retire?,2,body builder,794,Question: How long after Kelly
566,How old was Kelly Ryan when she was released from prison?,45,body builder,794,Question: How old was Charles Brenton Huggins when he won the Nobel Prize in 1966
567,How many years after retiring did Kelly Ryan get a divorce?,4 years,body builder,794,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Since he won"
568,How long before retirement did Kelly Ann Ryan win the IFBB Fitness International contest?,5 years,body builder,794,Question: How long before retirement did Kelly Ann Ryan win the IF
569,How old was Kelly Ryan when they retired?,33,body builder,794,Reason
570,How long was Kelly Ryan married to Craig Titus?,6 years,body builder,794,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the Davis Cup"
571,What is the difference in Kelly Ann Ryan's max weight in season compared to off-season?,6 kg,body builder,794,Question: What is the difference in Kelly Ann Ryan's max weight in
572,How old was Kelly Ann Ryan when she and Craig Titus divorced?,37,body builder,794,"Reasoning: According to the text, Frederick John Perry won the Davis Cup four times, including in 1933, 1934, 1935, and"
573,What Olympic Games did Krista Pärmäkoski win bronze for the 10km Freestyle?,2018 Pyeongchang,skier,797,Question: What Olympic Games did Krista Pärmäkoski win bronze for the 10km Freestyle?
574,How long after winning a gold medal at the Junior World Championships did Pärmäkoski win her first medal in the Olympics?,4,skier,797,Question: How
575,Where did Pärmäkoski  win a medal the first year of her World Cup career?,Praz de Lys-Sommand Junior World Championships,skier,797,"Reasoning: Charles Brenton Huggins was born on September 22, 1901, and won the Nobel Prize in Physiology or Medicine in"
576,How old was Pärmäkoski when she won her most recent medal?,32,skier,797,"Reasoning: According to the information provided, Perry won the Davis Cup four times, including in 1933, 1934, 1935, and 1936. Therefore, the last time he won the Davis Cup was in 193"
577,What age did Krista Pärmäkoski first olympic win in 2014?,Age of 24,skier,797,Answer
578,How many medals won by Krista Pärmäkoski in World Championships since 2011?,7 medals,skier,797,Question: How old was Charles Brenton Huggins when he won the Nobel Prize in 19
579,How many Gold medals won by Krista Pärmäkoski since 2008?,Two,skier,797,
580,How old was Krista Pärmäkoski when she went to her first World Cup?,19 years old,skier,797,"Frederick John Perry won the Davis Cup in 1936, which means the"
581,How old was Krista Pärmäkoski when she won her gold medal in the Junior World Championships?,20 years old,skier,797,Question: How old was Charles Brenton Huggins when he
582,How old was Daniele Comboni during his consecration?,46,christian leader,823,Question: How old was Daniele Comboni during his consecration?
583,How many years did Daniele Comboni serve as Vicar Apostolic of Central Africa?,4 years,christian leader,823,Question: How many years did Daniele Comboni serve as Vicar
584,How many years separated Daniele Comboni's ordination and his death?,27 years,christian leader,823,50
585,How old was Daniele Comboni when he became Vicar Apostolic of Central Africa?,46 years old,christian leader,823,Question: How old was Daniele Comboni when he became Vic
586,How much longer was Daniele Comboni Pro-Vicar Apostolic of Central Africa than Titular Bishop of Claudiopolis in Isauria?,1 year,christian leader,823,Question: How much longer was Daniele Comboni Pro-V
587,Which place did Daniele Comboni was Canonized in 2003?,"Saint Peter's Square, Vatican City by Pope John Paul II",christian leader,823,Question: Which place did Daniele Comboni was Canonized
588,Who was the Bishop of Roman Catholic Church in 1880?,Ignacij Knoblehar,christian leader,823,Question: Who was the Bishop
589,How many years ago did Daniele Comboni was died?,141 years ago,christian leader,823,Answer
590,How long after his ordination was Comboni appointed?,23 years,christian leader,823,Question: How long after his ordination was Comboni appointed?
591,Who was the Archbishop of Melbourne in 1916?,Thomas Carr,christian leader,825,The
592,How many years did Daniel Patrick Mannix serve as Bishop of the Armed services?,46 years,christian leader,825,Question: How many years did Daniel Patrick Mannix serve as Bishop of
593,How many years did Daniel Patrick Mannix worked as Archbishop of Melbourne from 1917?,46 Years,christian leader,825,Question 3: How many years did Daniel Patrick Mannix worked as Archbishop
594,How long was Mannix's term for?,46 years,christian leader,825,
595,"In addition to being archbishop, what other position did Mannix hold during his entire term?",Bishop of the Armed Services,christian leader,825,Question: In addition to being
596,How many years did Daniel Patrick Mannix serve as Archbishop of Melbourne?,46 years,christian leader,825,
597,How old was Daniel Patrick Mannix when he became the Archbishop of Melbourne?,53 years old,christian leader,825,Question: How old was Daniel Patrick Mannix when he became the Arch
598,Where did Daniel Patrick Mannix was buried in 1963?,"St Patrick's Cathedral, Melbourne",christian leader,825,Question: Where was Daniel Patrick Mannix buried in 196
599,What was the timeframe between ordination and consecration?,22 years,christian leader,825,Question: What was the timeframe between ordination and
600,When Amleto Giovanni Cicognani was Consecration?,23 April 1933,christian leader,832,Question: How old was Charles Brenton Huggins
601,What Other posts are Amleto Giovanni Cicognani did?,"Cardinal-Priest , Cardinal-Bishop of Ostia",christian leader,832,Cardinal-Bishop of F
602,How old was Amleto Giovanni Cicognani when he was ordained?,22 years old,christian leader,832,90
603,How many years after Amleto Giovanni Cicognani was ordained did he become Dean of the College of Cardinals?,67 years,christian leader,832,Question: How many years after Amleto Giovanni Cicognani was ordained did he become Dean of the College of Cardinals?
604,How many years did Amleto Giovanni Cicognani was worked as Secretary of State from 1961?,8 Years,christian leader,832,Re
605,How many years did Amleto Giovanni Cicognani serve as Titular Archbishop of Laodicea in Phrygia?,25 years,christian leader,832,Question: How many years did Amleto Giovanni Cicognani serve as Titular Archbishop of Laodicea in
606,How many years ago did Amleto Giovanni Cicognani was died?,49 Years ago,christian leader,832,Reasoning:
607,When Amleto Giovanni Cicognani was appointed in Roman Catholic Church?,24 March 1972,christian leader,832,"Reasoning: According to the provided text, Charles Brenton Huggins was born on September 22,"
608,Who was the Cardinal-Bishop of Roman Catholic Church in 1971?,Eugène-Gabriel-Gervais-Laurent Tisserant,christian leader,832,Amle
609,How many years was Murilo Bustamante active in his career?,11 years,martial artist,848,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, the last time he won the Davis Cup was in 193"
610,What year did Murilo Bustamante win a gold medal in the Brazilian National Championship?,1999,martial artist,848,Question: What year did Mur
611,How many years does Murilo Bustamante was in active career?,21 Years (1991-2012),martial artist,848,Question: How many years did Murilo Bustamante compete
612,How long after Bustamante won silver at the Brazilian National Championship did he win gold at the World Jiu-Jitsu Championship?,3 years,martial artist,848,Question: How long after Bustamante won silver at the Brazilian
613,In what year did Bustamante win the most medals?,1998,martial artist,848,Question: In what year did
614,How old was Bustamante when he began his career?,25,martial artist,848,Question 3: How old was Bustamante
615,How many bronze medals won by Murilo Bustamante since 1996?,4 Bronze medals,martial artist,848,Question 3: How many bronze medals won by
616,What was the age of Murilo Bustamante When he won World Jiu-Jitsu Championship in 1999?,Age of 33,martial artist,848,"Reasoning: Frederick John Perry won the Davis Cup four times, including in 1936. Therefore, 1936 is the last time he won the competition"
617,How old was Murilo Bustamante when he finished his career?,46 years old,martial artist,848,Question: How old was Murilo Bustamante when he finished his
618,How many different wars have Putin been active in?,4,person,855,"Therefore, the answer is 4 wars."
619,How many years ago did Putin assume office?,10,person,855,"answer: 69 years old
reasoning: Based on the provided information, Vladimir Putin was born on October 7, 1952, which means he is 69 years old as of 2022."
620,For how many years was Putin married?,31,person,855,"Based on the provided context, the answer to the question ""For how many years was Putin married?"" is 31 years. Putin was married to Lyudmila Shkrebneva from 1983 until their divorce in 2014, which means he was married for 31 years."
621,How many month did Vladimir Putin worked as Director of the Federal Security Service?,12 months,person,855,"reasoning: According to the provided text, Vladimir Putin worked as Director of the Federal Security Service (FSB) from July 25, 1998, to March 29, 1999, which is approximately 18 months."
622,What is the name of the political party did Vladimir Putin in 2008–2012?,United Russia,person,855,"reasoning: Based on the provided context, Vladimir Putin was the political party he was affiliated with in 2008-2012. According to the text, he was the President of Russia and the leader of the political party United Russia, but he was also known to be an independent politician. Therefore, the answer is Independent."
623,How many years did Vladimir Putin as Prime Minister of Russia?,13 years (1999-2012),person,855,"Reasoning: Based on the information provided in the context, Vladimir Putin became Prime Minister of Russia in 2000 and served in that position until 2008, when he became President of Russia. He then served as Prime Minister again from 2012 to present. Therefore, the answer is 12 years."
624,When was Vladimir Putin born?,Vladimir putin was born on 7 October 1952.,person,855,"Reasoning: Based on the provided information, we can determine that Vladimir Putin was born on October 7, 1952, in Leningrad, Soviet Union (now Saint Petersburg, Russia). This information is available in the ""Personal details"" section of the article."
625,What year did Vladimir Putin join the KGB?,He jointed the KGB in 1975.,person,855,"Reasoning: According to the provided text, Vladimir Putin served in the KGB from 1975 to 1991, and then again from 1998 to 1999, and finally from 2000 to present. Therefore, the answer is 1975, the year he first joined the KGB."
626,What year did Putin divorce Lyudmila Shkrebneva?,Putin divorced Shkrebneva in 2014,person,855,"question : When did Putin divorce Lyudmila Shkrebneva?
            answer and reasoning: Putin divorced Lyudmila Shkrebneva in 2014. According to the provided biography, Putin and Shkrebneva were married in 1983 and divorced in 2014. (2014 - 1983)"
627,Who was the Minister for Family and Community Services in May 2015?,Brad Hazzard,office holder,858,Gabrielle U
628,When Union held office for the first time what was her age?,39 years old,office holder,858,Question: When Union held office
629,How many political office has Union held this far?,Seven,office holder,858,
630,How many years did Gabrielle Upton hold the position for Minister of the Environment?,2 years,office holder,858,Question: How many years did Gabrielle Upton hold the
631,How old was Gabrielle Upton when she held the position of Minister of Family and Community Services?,50 years old,office holder,858,Question 3: How old was Gabrielle Upton
632,How many years did Gabrielle Upton hold the position of Attorney General of New South Wales?,2 years,office holder,858,Question: How many years did Gabrielle U
633,Who preceded Union multiple times in offices held by her?,Mark Speakman,office holder,858,Question 3: Who preceded Union multiple times
634,What was the age when Gabrielle Upton selected as Minister for Local Government?,Age of 53,office holder,858,Question: What was the age when Gabrielle Upton was selected as
635,How many months did Gabrielle Upton worked as Attorney General of New South Wales?,21 months,office holder,858,Question: How many months did Gabri
636,How long after serving on the Member of the COVID-19 Advisory Board did Gawande take office as Assistant Administrator of the United States Agency for International Development for Global Health Incumbent?,1 year,scientist,867,Question 3: How long after serving on the Member of the COVID-1
