"question","actual_answer","category","table_id","predicted_answer"
"For what professional team did Antiga play for when won silver at the FIVB World League in Moscow?","CV Pòrtol","volleyball","588","Poland"
"What year did Stéphane Antiga win a silver medal in 2006 Moscow?","FIVB World League","volleyball","588","Stéphane Antiga did not win a silver medal in 2006 Moscow. According to the information provided, he won a silver medal at the 2003 CEV European Championship and the 2009 CEV European Championship, but not in 2006. Therefore, the answer is ""None"" or ""Not applicable."""
"How old was Stéphane Antiga when he won the FIVB World Championship?","26 years old","volleyball","588","46 years old"
"How many years were between the time Antiga first played professionally and when he began coaching?","20","volleyball","588","Stéphane Antiga began coaching in 2014, and he played professionally from 1994 to 2013, so the difference is 20 years."
"How old was Antiga when he first played for Paris Volley?","22","volleyball","588","32 years old"
"Which country did Stéphane Antiga lead to gold in 2014?","Poland","volleyball","588","Poland"
"How many national teams has Stéphane Antiga coached?","two","volleyball","588","3Stéphane Antiga has coached 3 national teams: France, Canada, and Poland."
"What World Championship did Stéphane Antiga win gold?","2014 Poland","volleyball","588","2014"
"How old was Stéphane Antiga the year he medaled in Argentina?","26","volleyball","588","46 years old"
"How long after 20th Century Studios was founded was it owned by Walt Disney?","84 years","company","592","The Walt Disney Company acquired 20th Century Studios in 2019, 84 years after the company was founded in 1935."
"How much longer was 20th Century Studios owned by News Corporation than 21st Century Fox?","12 years","company","592","Twentieth Century Fox was owned by News Corporation for 28 years (1985-2013), while 21st Century Fox was owned by News Corporation for 6 years (2013-2019). Therefore, Twentieth Century Fox was owned by News Corporation for 4 times longer than 21st Century Fox."
"Who was the second owner of 20th Century Studios, Inc.?","News Corporation","company","592","The second owner of 20th Century Studios, Inc. was News Corporation, which acquired the company in 1985."
"How many employees did 20th Century Studios have the year before Walt Disney became its parent company?","2,300","company","592","The number of employees 20th Century Studios had the year before Walt Disney became its parent company was 2,300 (in 2018)."
"Who is the most recent owner of 20th Century Studios, Inc.?","The Walt Disney Company","company","592","The Walt Disney Company"
"Who became the Parent Company of 20th Century Studios, Inc. in 2019?","Walt Disney Studios","company","592","The Walt Disney Company"
"How many employees did 20th Century Studios, Inc. have in 2018?","2,300","company","592","According to the context, 20th Century Studios, Inc. had 2,300 employees in 2018."
"How many years has 20th Century Studios, Inc. been in existence?","87 years","company","592","The answer is 87 years."
"When did the most recent owner of 20th Century Studios, Inc. acquire the company?","2019","company","592","The Walt Disney Company acquired 20th Century Studios, Inc. in 2019."
"How many years has 888 Holdings PLC been in existence?","25 years","company","595","25 years"
"What was the operating income for 888 Holdings PLC in 2021?","$87 Billion","company","595","US$87.0 million"
"How many employees did 888 Holdings PLC report in 2022?","1,350","company","595","Sure! Here's the answer to your question:1,350"
"As of the first month in 2022, how may people were employed by ATT?","203,000","company","597","As of January 2022, AT&T had approximately 203,000 employees."
"For how many years was ATT known as Southwestern Bell Corporation?","12","company","597","AT&T was known as Southwestern Bell Corporation for 12 years, from 1983 to 1995."
"for how long has the current ATT logo been in use?","6 years","company","597","The current AT&T logo has been in use since 1983, when the company was renamed from Southwestern Bell Corporation to AT&T Inc. Therefore, the logo has been in use for 39 years, as of 2023."
"What was the total revenue for AT&T Inc. in 2021?","$168.86 billion","company","597","US$168.86 billion"
"How long ago was AT&T Inc. founded?","39 years","company","597","AT&T Inc. was founded 38 years ago, on October 5, 1983."
"How long had AT&T been known by a different name?","22 years","company","597","AT&T had been known by a different name for 12 years, from 1983 to 1995, when it was known as Southwestern Bell Corporation, and for another 10 years, from 1995 to 2005, when it was known as SBC Communications Inc."
"What was AT&T Inc. known as prior to 1995?","Southwestern Bell Corporation","company","597","Southwestern Bell Corporation"
"What was AT&T known as when September 11th happened?","SBC Communications Inc.","company","597","SBC Communications Inc."
"Is there more or less employess at AT&T in 2022 compared to 2021?","less","company","597","According to the information provided, the number of employees at AT&T decreased from 2021 to 2022. The number of employees in 2022 was reported to be 203,000."
"what type of industry as a Ambassadors Group, Inc.?","Educational travel","website","600","Educational travel"
"What us total equity of Ambassadors Group in 2009?","US$91.0 million","website","600","US$91.0 million"
"What is the revenue of Ambassadors Group in 2009?","US$98.6 million","website","600","US$98.6 million"
"When is Ambassadors Group was founded?","Spokane, Washington (1967)","website","600","1967"
"How many dollars of Operating income?","$32.2 million","website","600","US$32.2 million"
"Which year is founded of Ambassadors Group, Inc?","1967","website","600","1967"
"Which place founded in Ambassadors Group, Inc?","Spokane, Washington","website","600","Spokane, Washington"
"what is the Revenue of Ambassadors Group?","US$98.6 million","website","600","US$98.6 million"
"where is founded of Ambassadors Group, Inc.?","Spokane","website","600","Spokane, Washington"
"How many students were there in University of Cambridge during the year 2020?","24,450","university","606","According to the context, there were 24,450 students in the University of Cambridge in the year 2020."
"Which is greater, the age of the University of Cambridge or its amount of acres?","age","university","606","The age of the University of Cambridge is greater than its amount of acres.The University of Cambridge was established in 1209, making it 813 years old.The university's campus covers 288 hectares, or 710 acres."
"When was the University of Cambridge was established?"," 1209","university","606","The University of Cambridge was established in 1209, 813 years ago."
"How many Academic staff in 2020 at University of Cambridge?","6170","university","606","According to the context, the number of academic staff at the University of Cambridge in 2020 was 6,170."
"How many years ago University of Cambridge Founded?","813 years ago","university","606","The University of Cambridge was founded circa 1209, which is 813 years ago."
"What was the name of University of Cambridge in 1209?","The Chancellor, Masters and Scholars of the University of Cambridge","university","606","The name of the University of Cambridge in 1209 was ""The Chancellor, Masters and Scholars of the University of Cambridge."""
"When was University of Cambridge founded?","1209","university","606","The University of Cambridge was founded in 1209, 813 years ago."
"What was the total students for University of Cambridge in 2020?","24,450","university","606","The total number of students for University of Cambridge in 2020 was 24,450."
"What is the total of undergraduates and postgraduates	at the University of Cambridge?","24,450","university","606","The total of undergraduates and postgraduates at the University of Cambridge is 24,450 (2020)."
"Who was the Vice Chancellor of University of Cambridge?","Stephen J. Toope","university","606","Stephen J. Toope"
"When was the University of Cambridge established?","1209 AD","university","606","The University of Cambridge was established in 1209, 813 years ago."
"How many academic affiliations does the University of Cambridge have?","seven","university","606","The University of Cambridge has 7 academic affiliations:1. Russell Group2. EUA (European University Association)3. G5 Universities4. Golden Triangle5. LERU (League of European Research Universities)6. IARU (International Alliance of Research Universities)7. Universities UK"
"How many more academic affiliations than sporting affiliations does Yale University have?","one","university","611","Yale University has 4 academic affiliations (AAU, IARU, NAICU, and Space-grant) and 3 sporting affiliations (NCAA Division I FCS - Ivy League, ECAC Hockey, and NEISA).Therefore, Yale University has 1 more academic affiliation than sporting affiliation."
"How many languages are Yale University's mottos in?","two","university","611","Two. Yale University's mottos are in Latin and Hebrew."
"How many years was Yale University known as Collegiate School?","17 years","university","611","The Collegiate School, which later became Yale University, was known by that name for 17 years, from 1701 to 1718."
"How many students studied in Yale University 2020?","12060","university","611","According to the provided context, Yale University had 12,060 students in the fall of 2020."
"How many years ago did Collegiate School was named Yale College?","304 years ago","university","611","Yale College was named 320 years ago, in 1718."
"What is the total of Yale University's academic staff and students?","16,929","university","611","The total of Yale University's academic staff and students is 4,869 (academic staff) + 12,060 (students) = 16,929."
"How many years did Yale University was named Collegiate School?","17 Years","university","611","The Collegiate School, which later became Yale University, was named as such for 17 years, from 1701 to 1718."
"What was the name of Yale University in 1701?","Collegiate School","university","611","The name of Yale University in 1701 was the Collegiate School."
"How many years has Yale University been in existance?","321 years","university","611","Yale University has been in existence for 320 years, since its founding on October 9, 1701."
"Can more people attend basketball games or concerts at the Carrier Dome?","concerts","stadium","621","The Carrier Dome has a capacity of 33,000 for basketball games, while it can accommodate up to 56,250 people for concerts. Therefore, more people can attend concerts at the Carrier Dome than basketball games."
"How many years passed between the ground breaking and the opening of the Carrier Dome?","2","stadium","621","The Carrier Dome was opened on September 20, 1980. The construction began on November 11, 1978. Therefore, the difference between the groundbreaking and opening dates is 1 year and 10 months."
"In what decade was the capacity of the Carrier Dome the greatest?","80s","stadium","621","The capacity of the Carrier Dome was greatest in the 1980s, specifically in 1980, when it was 50,000."
"How many more undergraduates than postgraduates does Jacobs University Bremen have?","898","university","624","Jacobs University Bremen has 898 more undergraduates (1092) than postgraduates (194) in 2020."
"How many years ago this Jacobs University Bremen Established?","21 years ago","university","624","The Jacobs University Bremen was established 21 years ago, in 2001."
"Which is greater, the amount of Jacobs University Bremen's postgraduates	or doctoral students?","doctoral students","university","624","The amount of Jacobs University Bremen's postgraduates is greater than the amount of doctoral students.In 2020, the number of postgraduates was 194, while the number of doctoral students was 235."
"How many more doctoral students than post grads does Jacobs University have?","41","university","624","Jacobs University has 45 more doctoral students (235) than postgraduates (194)."
"How many professors does Jacobs University have?","62","university","624","62"
"When was Jacobs university founded?","2001","university","624","2001"
"How many Undergraduates and Postgraduates studied at Jacobs University Bremen in 2020?","1286","university","624","In 2020, Jacobs University Bremen had 1092 undergraduates and 194 postgraduates."
"Which is greater, the amount of Jacobs University Bremen's professors or doctoral students?","doctoral students","university","624","The amount of Jacobs University Bremen's professors is 62, while the amount of doctoral students is 235. Therefore, the amount of doctoral students is greater than the amount of professors."
"How many academic staff excluded Professors are working at Jacobs University Bremen in 2020?","188","university","624","The answer to the question can be found in the context provided:""Academic staff: 250 (of which 62 are Professors)""Therefore, the number of academic staff excluded Professors working at Jacobs University Bremen in 2020 is:250 - 62 = 188So, the answer is 188."
"How long did it take for NYSE to go from US$20.161 trillion volume to US$26.2 trillion marketcap?","10 years","monument","626","It took approximately 10 years for the NYSE to go from a volume of US$20.161 trillion to a market capitalization of US$26.2 trillion."
"How many years after finding NYSE was its volume US$20.161 trillion?","219 years","monument","626","The NYSE's volume was US$20.161 trillion in 2011, which is 229 years after its founding in 1792."
"After how many years of finding the NYSE, did its market cap reach $26.2 trillion?","229 years","monument","626","It took 229 years for the NYSE's market cap to reach $26.2 trillion."
"What was the opening date of the New York Stock Exchange?","May 17, 1792","monument","626","May 17, 1792"
"What year was the New York Stock Exchange founded?","1792","monument","626","Sure! Here's the answer to the question based on the provided context:1792"
"What was the market cap for the New York Stock Exchange in 2021?","$26.2 trillion","monument","626","US$26.2 trillion"
"What is the Market cap  volume difference betwwen 2011-2021?","US$6.039 trillion","monument","626","The Market cap volume difference between 2011-2021 is:US$26.2 trillion (2021) - US$20.161 trillion (2011) = US$6.039 trillionOr,26,200,000,000,000 - 20,161,000,000,000 = 6,039,000,000,000"
"How many years ago this New York Stock Exchange Founded?","229 years ago","monument","626","229 years ago"
"In what year was the NYSE founded?","1792","monument","626","Sure! Here's the answer to the question:1792"
"Who is the chairman of New York Stock Exchange in 2022?","Jeffrey Sprecher","monument","626","Jeffrey Sprecher"
"How many listings does the NYSE have?","2400","monument","626","2,400"
"What currency does the NYSE trade in?","US dollar","monument","626","United States dollar"
"Was the stadium called Tractor Stadium or Dzerzhinets Stadium for a longer period of time?","Dzerzhinets Stadium","stadium","627","Dzerzhinets Stadium was the name of the stadium for a longer period of time, from 1940 to 1967, while Tractor Stadium was the name only from 1926 to 1940."
"How many years was the stadium called Tractor Stadium?","14","stadium","627","The stadium was called Tractor Stadium for 14 years, from 1926 to 1940."
"What is the capacity of OSC Metalist stadium?","41,307","stadium","627","The capacity of OSC Metalist stadium is 41,307."
"How many name changes has OSC Metalist stadium had?","3","stadium","627","Three. The OSC Metalist stadium has had three name changes:1. Tractor Stadium (1926-1940)2. Dzerzhinets Stadium (1940-1967)3. Metalist Stadium (1967-present)"
"When did OSC Metalist Stadium first open?","1926","stadium","627","Sure! Here's the answer to the question:12 September 1926"
"How long after breaking ground did OSC Metalist open?","1 year","stadium","627","The OSC Metalist stadium opened on September 12, 1926, 12 years after breaking ground."
"How many years after opening was OSC Metalist renovated?","83 years","stadium","627","The OSC Metalist stadium was renovated 5 December 2009, which is 83 years after it was opened on 12 September 1926."
"What was the name of OSC Metalist 25 years after its opening?","Dzerzhinets Stadium","stadium","627","Metalist 1925 Kharkiv"
"How many years after opening was the stadium renovated?","83","stadium","627","Sure! Here's the answer to the question:The stadium was renovated 83 years after it was opened, in 2009."
"When was second Launch Pad became operational?","5 May 2005","launchpad","628","The second launch pad at Satish Dhawan Space Centre (SDSC) became operational on May 5, 2005."
"How many Launches did Satish Dhawan Space Centre (SDSC) completed?","83","launchpad","628","83"
"How many years after the first launch at the Satish Dhawan Space Centre did the first launch from its second launch pad occur?","26","launchpad","628","The first launch from the second launch pad at the Satish Dhawan Space Centre occurred 26 years after the first launch at the centre.The first launch at the Satish Dhawan Space Centre was on August 9, 1979, and the first launch from the second launch pad was on May 5, 2005.Therefore, the answer is 26 years."
"In what year did the first launch occur at the Satish Dhawan Space Centre?","1979","launchpad","628","Sure! Here's the answer to the question based on the provided context:The first launch at the Satish Dhawan Space Centre occurred on August 9, 1979."
"How many launch pads are at the Satish Dhawan Space Centre?","3","launchpad","628","Three"
"Who is the chairman of Satish Dhawan Space Centre?","Shri A Rajarajan","launchpad","628","The chairman of Satish Dhawan Space Centre is not specified in the given context."
"Which year Satish Dhawan Space Centre named?","2002","launchpad","628","The Satish Dhawan Space Centre was named in 2003."
"Where did Satish Dhawan Space Centre located?","Sriharikota","launchpad","628","Sriharikota, Tirupati district, Andhra Pradesh, India"
"How many Launch Pads are there?","3","launchpad","628","There are three launch pads at Satish Dhawan Space Centre (SDSC)."
"Which year is last launch?","1991","launchpad","629","Sure! Here's the answer to your question based on the provided context:Last launch: 13 December 2021"
"How many proton launchces?","63","launchpad","629","Total launches: 232Launch pad(s): TwoOrbital inclination | range: 49° - 99°"
"Which year is first launch?","1977","launchpad","629","The first launch mentioned in the context is:20 February 1980 | Proton-K/DM / Raduga 6"
"What year did the first launch from Site 200 occur?","1980","launchpad","629","Sure! Here's the answer to your question:The first launch from Site 200 occurred on February 20, 1980."
"How many launches occurred at Site 200/40 in total?","63","launchpad","629","Total launches at Site 200/40: 63"
"How many launch pads are at Site 200?","2","launchpad","629","Two"
"What was the time difference between the first launch and the last launch at 200/39?","Almost 22 years","launchpad","629","The time difference between the first launch and the last launch at Site 200/39 is 41 years and 9 months."
"What was the time difference between the first and last launch at the site 200/40 site?","Almost 14 years","launchpad","629","The time difference between the first and last launch at the Site 200/40 is 14 years, from 23 July 1977 (first launch) to 31 March 1991 (last launch)."
"Which site had multiple associated rockets?","Site 200/39","launchpad","629","Baikonur Cosmodrome, Site 200/39"
"what is the products of the West Stanley Pit?","coal","event","634","Coal"
"how many death occur in West Stanley Pit?","168","event","634","The answer to the question ""How many deaths occurred in West Stanley Pit?"" is 168."
"what is the depth of West Stanley Pit?","163 fathoms 1882 disaster","event","634","The depth of West Stanley Pit was 163 fathoms (958 feet or 292 meters) at its greatest depth."
"Which location  occurred of West Stanley Pit?","Durham","event","634","County Durham"
"How many deaths of West Stanley Pit?","13","event","634","The answer to the question ""How many deaths of West Stanley Pit?"" is 168."
"when did the inquest was occuring?","26 and 27 April 1882.","event","634","The inquest into the West Stanley Pit disaster occurred from February 18 to March 29, 1909."
"What is the depth of the disaster?","The depth of disaster is 163 fathoms.","event","634","The depth of the disaster at West Stanley Pit was 163 fathoms (958 feet or 292 meters)."
"Which country occurred of West Stanley Pit?","United Kingdom","event","634","United Kingdom"
"What is the death rate in West Stanley Pit disaster?","Totally 13 deaths in West Stanley Pit disaster.","event","634","The death rate in West Stanley Pit disaster is 168."
"When was the last time that Blaze Riorden won a medal at the World Indoor Lacrosse Championship?","2019","lacrosse","642","The last time Blaze Riorden won a medal at the World Indoor Lacrosse Championship was in 2019, when he won third place with the United States team at the championship held in Langley."
"How many years apart were the medals that Blaze Riorden won at the World Indoor Lacrosse Championship?","4 years","lacrosse","642","The medals that Blaze Riorden won at the World Indoor Lacrosse Championship are 4 years apart (2015 and 2019)."
"When was the most recent time that Blaze Riorden was an all star in the PLL?","2021","lacrosse","642","The most recent time that Blaze Riorden was an all-star in the PLL was 2021."
"How many times did Blaze Riorden was won Oren Lyons Goalie of the Year from 2019?","3 Times","lacrosse","642","Three times."
"Which team did Blaze Riorden was played in 2016?","Albany","lacrosse","642","Albany"
"How many titles did Blaze Riorden earn between 2016 and 2021?","9","lacrosse","642","Three.Blaze Riorden earned the following titles between 2016 and 2021:* NCAA America East Defensive Player of the Year (2016)* Third Team All American (2016)* 3x First Team All America East (2014-16)* Second Team All America East (2013)* America East All-Rookie Team (2013)* Albany all-time leader in saves (849)* PLL 3x Oren Lyons Goalie of the Year (2019-21)* 2x All-Star (2019, 2021)* Jim Brown Most Valuable Player (2021)"
"What was the age when Blaze Riorden won America East Defensive Player of the Year in 2016?","Age of 22","lacrosse","642","22 years old"
"What league was Blaze Riorden playing for when he won the World Indoor Lacrosse Championship in Langley?","PLL","lacrosse","642","National Lacrosse League (NLL)"
"Where did Blaze Riorden compete in the World Lacrosse Championship when he won the First Team All America East for the second time?","Onondaga","lacrosse","642","The World Lacrosse Championship was held in 2019 in Langley, where Blaze Riorden won the First Team All America East for the second time."
"How many years ago Brandon Miller career started?","21 Years ago","lacrosse","644","Brandon Miller's career started in 2001."
"How many times did Brandon Miller awarded Harry Lumley Trophy from 2008?","2 Times","lacrosse","644","4 times"
"When was the first time that Brandon Miller was the Mann Cup Champion?","2002","lacrosse","644","2002"
"How long was it between when Brandon Miller won the Harry Lumley Trophy the first time and the last time?","12 years","lacrosse","644","The answer to the question is 12 years. Brandon Miller won the Harry Lumley Trophy for the first time in 2002, and for the last time in 2014."
"What was the age when Brandon Miller won NLL All-Star award in 2007?","Age of 28","lacrosse","644","28 years old"
"What years did Brandon Miller win more than one award?","2007, 2008, 2013, 2014","lacrosse","644","Sure! Here's the answer to your question:2002, 2008, 2013, 2014"
"When was the most recent time that Brandon Miller was the Mann Cup Champion?","2014","lacrosse","644","The most recent time that Brandon Miller was the Mann Cup Champion was 2014."
"When was the first time that Brandon Miller won the Harry Lumley Trophy?","2002","lacrosse","644","2002"
"At what age did Brandon Miller earn a spot on the 2nd Team All-Pro?","34","lacrosse","644","34 years old"
"When Dylon Molloy started his career?","2017","lacrosse","655","2017"
"Which team Dylon Molloy is currently playing for?","Chrome","lacrosse","655","Chrome"
"How long has Dylan Molloy been playing professionally?","5 years","lacrosse","655","Dylan Molloy has been playing professionally since 2017."
"How many years after winning the USILA player of the year did Dylan Molloy become a pro?","1","lacrosse","655","One year. Dylan Molloy became a pro in 2017, one year after winning the USILA Player of the Year award in 2016."
"Who did Dylan Molloy play for before the Buffalo Bandits?","Brown","lacrosse","655","Before playing for the Buffalo Bandits, Dylan Molloy played for the Florida Launch in the Major League Lacrosse (MLL) league."
"How many teams did Dylan Molloy play for after graduating from Brown?","4","lacrosse","655","3 teams:1. Colorado Mammoth (NLL)2. Florida Launch (MLL)3. New York Lizards (MLL)"
"How many awards did Dylan Molloy earn the year before he graduated from Brown?","2","lacrosse","655","Two awards: USILA Player of the Year and Tewaaraton Award."
"In 2016 what award Dylon Molloy got?","Tewarraton Award","lacrosse","655","Tewaaraton Award"
"How many years ago was Dylan Molloy the USILA Player of the Year?","6","lacrosse","655","6 years ago"
"When was the first time that Frank Urso was an NCAA D-I Champion?","1975","lacrosse","656","The first time Frank Urso was an NCAA D-I Champion was in 1973."
"When was the most recent time that Frank Urso was on the All-American team?","1976","lacrosse","656","The most recent time that Frank Urso was on the All-American team was 1976."
"How many times did Frank Urso won NCAA D-I Champion from 1973?","2 Times (1973, 1975)","lacrosse","656","Twice"
"Which country did Frank Urso was participated in World Lacrosse Championship 1974?","United States","lacrosse","656","United States"
"How many years before Frank Urso began his pro career was he inducted into the U.S. Lacrosse Hall of Fame?","6","lacrosse","656","Frank Urso was inducted into the U.S. Lacrosse Hall of Fame in 1981, 6 years before he began his pro career in 1987."
"What years did Frank Urso earn more than one title?","1974, 1975, 1976","lacrosse","656","Sure! Here's the answer to your question:1973, 1974, 1975, 1976"
"How long after Frank Urso earned his first NCAA D-1 Champion title did he compete in the World Lacross Championship?","1 year","lacrosse","656","Frank Urso competed in the World Lacrosse Championship in 1974, which was 1 year after he earned his first NCAA D-1 Champion title."
"How many years ago did Frank Urso awarded Division I Player of the Year?","47 years ago","lacrosse","656","Sure! Here's the answer to your question:46 years ago"
"When was the last time that Frank Urso was the Midfielder of the Year?","1976","lacrosse","656","The last time Frank Urso was the Midfielder of the Year was 1976."
"Between 2011 and 2013, in which two cities did swimmer Alicia Coutts compete in the World Championships?","Shanghai and Barcelona","swimming","665","Sure! Here's the answer to the question:Between 2011 and 2013, Alicia Coutts competed in the World Championships in the following two cities:1. Shanghai, China (2011)2. Barcelona, Spain (2013)"
"What year did Alicia Coutts win Olympic gold?","2012","swimming","665","Sure! Here's the answer to the question:The year that Alicia Coutts won Olympic gold was 2012."
"How old was Alicia Coutts when she won her gold medal in the 2012 Olympics?","25 years old","swimming","665","25 years old"
"What event did Alicia Coutts win the gold at the 2012 London Olympics?","4×100 m freestyle","swimming","665","The event that Alicia Coutts won the gold at the 2012 London Olympics was the 4x100m freestyle relay."
"Which country did Alicia Coutts represented in Olympic Games in 2012?","Australia","swimming","665","Australia"
"What was age when Alicia Coutts won first gold medal in Pan Pacific Championships 2014?","27","swimming","665","27 years old"
"How many gold medels won by Alicia Coutts in the Olympic Games 2012 ?","One","swimming","665","One gold medal in the 4x100m freestyle event at the 2012 London Olympics."
"In 2010, how many gold medals did swimmer Alicia Coutts win at the Commonwealth Games?","5","swimming","665","3In 2010, Alicia Coutts won 3 gold medals at the Commonwealth Games, in the 100m freestyle, 100m butterfly, and 200m medley events."
"How many Pan Pacific Championships did swimmer Alicia Coutts compete in between 2010 and 2014?","2","swimming","665","Between 2010 and 2014, Alicia Coutts competed in 3 Pan Pacific Championships."
"How old was Carolijn Brouwer when she first competed in the ISAF World Youth Championships?","18","sailor","668","18 years old"
"Which country did Carolijn Brouwer is representing since 1991?","Netherlands","sailor","668","Netherlands"
"What countries has Carolijn Brouwer represented in World Championship competition?","Netherlands and Belgium","sailor","668","Netherlands, Belgium"
"What was the last year that Carolijn Brouwer won a gold medal in the World Championships?","1998","sailor","668","2007"
"How old was Carolijn Brouwer when she won her last gold medal in the World Championships?","25 years old","sailor","668","48 years old"
"What year did Carolijn Brouwer win a silver medal representing Belgium in the World CHampionships?","2007","sailor","668","2007"
"How many gold medals won by Carolijn Brouwer in World Championships from 1996-1998?","Two","sailor","668","None"
"What was the age when Carolijn Brouwer won first gold medal in ISAF World Youth Championships 1991?","Age of 18","sailor","668","18 years old"
"How many years were there between Carolijn Brouwer competing for the Netherlands and Belgium?","6","sailor","668","There were 14 years between Carolijn Brouwer competing for the Netherlands and Belgium."
"Which year did Charlotte Atkinson win the most of all medals combined?","2015","swimming","669","The year in which Charlotte Atkinson won the most medals combined was 2015, with a total of 6 gold medals and 2 silver medals."
"For how many different events did Charlotte Atkinson win silver medals?","6","swimming","669","Silver medals were won by Charlotte Atkinson in 5 different events."
"What year did Charlotte Atkinson win the most gold medals?","2015","swimming","669","The year that Charlotte Atkinson won the most gold medals was 2015, with 5 gold medals won at the Island Games in Jersey."
"Where were the 2018 European Championship games held where Charlotte Atkinson won a gold medal?","Glasgow","swimming","669","Glasgow"
"What year did Charlotte Atkinson win her first bronze medal in the Island Games?","2011","swimming","669","2011"
"How old was Charlotte Atkinson when she won the gold in the European Championships?","22 years old","swimming","669","22 years old"
"How many years after winning a bronze medal in the Isle of Wight 200 m medley did Atkinson win a gold medal at the 2018 Glasgow 4×100 m mixed medley?","7","swimming","669","Sure! Here's the answer to the question:7 years"
"In what year did Atkinson win the most gold medals?","2015","swimming","669","The answer to the question ""In what year did Atkinson win the most gold medals?"" is 2015. According to the information provided, Charlotte Atkinson won 7 gold medals at the 2015 Island Games in Jersey."
"How old was Atkinson when she won her first gold medal?","15","swimming","669","25 years old"
"How many bronze medals won by Claire Leroy in World Championships since 2004?","Three","sailor","671","Three.Claire Leroy won bronze medals in the following World Championships:* 2004 Annapolis* 2005 Hamilton* 2011 Perth"
"What was the age when Claire Leroy won first gold medal in 2007 World Championships?","Age of 27","sailor","671","27"
"Which country did Claire Leroy represented in 2004 World Championships?","France","sailor","671","France"
"Where did Claire Leroy win her most recent bronze medal in the World Championships in 2011?","Perth","sailor","671","Perth"
"How old was Claire Leroy When she won gold for the 2007 World Championships?","27 years old","sailor","671","27 years old"
"How many years apart were there when Claire Leroy won her gold World Championships medals?","one","sailor","671","There are 4 years between Claire Leroy's gold World Championships medals."
"When did Claire Leroy win her most recent World Championships medal?","2011","sailor","671","2011"
"How many years did it take for Claire Leroy to win a gold medal after her first bronze medal?","3 years","sailor","671","It took Claire Leroy 3 years to win a gold medal after her first bronze medal."
"How old was Claire Leroy when she won her first World Championships medal?","27","sailor","671","27 years old"
"Which country did Heiko Kroeger represented in Paralympic Games in 2012?","German","sailor","677","Germany"
"How many world championships gold titles of Heiko Kroeger?","8","sailor","677","Heiko Kroeger has won 8 gold titles at the World Championships in Sailing."
"What year did Heiko Kroeger win a gold medal in the Olympics in Sydney?","2000","sailor","677","Sure! Here's the answer to the question:2000"
"How many metre run in World championships titles?","2.4m","sailor","677","Heiko Kroeger has won 8 World Championships titles in the 2.4m class."
"How old was Heiko Kroeger when he won a gold medal in the 2000 Olympics?","34 years old","sailor","677","Heiko Kroeger was 34 years old when he won a gold medal in the 2000 Olympics."
"How many world championships silver titles of Heiko Kroeger?","6","sailor","677","Heiko Kroeger has won 4 silver titles at the World Championships in Sailing."
"How many gold medals won by Heiko Kroeger in World Championships in Sailing from 2001?","Eight","sailor","677","One gold medal in 2001 (Disabled 2.4m)"
"What was the age when Heiko Kroeger was won first gold in Paralympic Games 2000?","Age of 34","sailor","677","Sure! Based on the provided context, the answer to the question ""What was the age when Heiko Kroeger was won first gold in Paralympic Games 2000?"" is:34 years old"
"How many years did Heiko Kroeger have before getting another medal after his gold medal in the 2000 Olympics?","12 years","sailor","677","Sure! Here's the answer to the question:Heiko Kroeger had 16 years before getting another medal after his gold medal in the 2000 Olympics."
"When was Marina Alabau's most recent appearance in the European Championships?","2012","sailor","688","Marina Alabau's most recent appearance in the European Championships was in 2012, when she won the gold medal in Madeira."
"What year did Marina Alabau play their first World Championships game in Women's sailboarding?","2009","sailor","688","2009"
"What Olympic Games did Marina Alabau win a gold medal in?","2012 London","sailor","688","London 2012"
"How old was Marina Alabau when she won gold in the 2012 Olympics?","27 years old","sailor","688","27 years old"
"How many times has Marina Alabau won gold in Women's sailboarding in their lifetime?","7","sailor","688","Marina Alabau has won gold in Women's sailboarding 5 times in her lifetime."
"What event did Marina Alabau win the gold medal for in 2012 London Olympics?","RS:X","sailor","688","RS:X"
"How many gold medals won by Marina Alabau in European Championships from 2007-2012?","Five","sailor","688","Marina Alabau won 5 gold medals in European Championships from 2007-2012."
"What was the age when Marina Alabau  played in Olympic Games 2012?","Age of 27","sailor","688","27"
"Which country did  Marina Alabau is representing since 2007?","Spain","sailor","688","Spain"
"How many years ago was Catch 22 published?","61","book","702","The novel ""Catch-22"" was published 61 years ago, in 1961."
"Who was the publisher of Catch 22?","Simon and Schuster","book","702","Simon & Schuster"
"The follow up to Catch-22 was published in what year?","1994","book","702","Sure! Here's the answer to the question:1994"
"When was the book Catch-22 first published?","1961","book","702","November 10, 1961"
"How many years ago was Catch-22 published?","61 years","book","702","The novel Catch-22 was published 61 years ago, in 1961."
"Who was the author of Catch 22?","Joseph Heller","book","702","Joseph Heller"
"What year did the first edition hardback of Catch-22 release?","1961","book","702","The first edition hardback of Catch-22 was published on November 10, 1961."
"When did Catch-22 received its publication date?","November 10, 1961","book","702","November 10, 1961"
"Catch-22 was first printed when?","1961","book","702","November 10, 1961"
"How long between Quadri's highest rank and his silver and the Commonwealth games?","4 years","tabletennis","710","4 years"
"What year did Aruna Quadri achieve his highest ranking?","2022","tabletennis","710","Sure! Here's the answer to the question:2022"
"How old was Aruna Quadri when he reached number 10?","33","tabletennis","710","33 years old"
