question,answer,table_id,answer_type,is_temporal,answer_old,answer_timeunit
When was University of Cambridge founded?,1209,606,TEMPORAL,Is temporal,1209,not defined
When was the University of Cambridge established?,1209 AD,606,TEMPORAL,Is temporal,1209 AD,not defined
How many years was Yale University known as Collegiate School?,17 years,611,TEMPORAL,Is temporal,17 years,year
How many years ago did Collegiate School was named Yale College?,304 years ago,611,TEMPORAL,Is temporal,304 years ago,year
How many years did Yale University was named Collegiate School?,17 Years,611,TEMPORAL,Is temporal,17 Years,year
How many years has Yale University been in existance?,321 years,611,TEMPORAL,Is temporal,321 years,year
How many years passed between the ground breaking and the opening of the Carrier Dome?,2,621,COUNT,Is temporal,2,year
In what decade was the capacity of the Carrier Dome the greatest?,80s,621,UNKNOWN,Is temporal,80s,not defined
How many years ago this Jacobs University Bremen Established?,21 years ago,624,TEMPORAL,Is temporal,21 years ago,year
When was Jacobs university founded?,2001,624,TEMPORAL,Is temporal,2001,not defined
How long did it take for NYSE to go from US$20.161 trillion volume to US$26.2 trillion marketcap?,10 years,626,TEMPORAL,Is temporal,10 years,year
How many years after finding NYSE was its volume US$20.161 trillion?,219 years,626,TEMPORAL,Is temporal,219 years,year
"After how many years of finding the NYSE, did its market cap reach $26.2 trillion?",229 years,626,TEMPORAL,Is temporal,229 years,year
What was the opening date of the New York Stock Exchange?,"May 17, 1792",626,TEMPORAL,Is temporal,"May 17, 1792",not defined
What year was the New York Stock Exchange founded?,1792,626,TEMPORAL,Is temporal,1792,year
How many years ago this New York Stock Exchange Founded?,229 years ago,626,TEMPORAL,Is temporal,229 years ago,year
In what year was the NYSE founded?,1792,626,TEMPORAL,Is temporal,1792,year
How many years was the stadium called Tractor Stadium?,14,627,COUNT,Is temporal,14,year
When did OSC Metalist Stadium first open?,1926,627,TEMPORAL,Is temporal,1926,not defined
How long after breaking ground did OSC Metalist open?,1 year,627,TEMPORAL,Is temporal,1 year,year
How many years after opening was OSC Metalist renovated?,83 years,627,TEMPORAL,Is temporal,83 years,year
How many years after opening was the stadium renovated?,83,627,COUNT,Is temporal,83,year
When was second Launch Pad became operational?,5 May 2005,628,TEMPORAL,Is temporal,5 May 2005,not defined
How many years after the first launch at the Satish Dhawan Space Centre did the first launch from its second launch pad occur?,26,628,COUNT,Is temporal,26,year
In what year did the first launch occur at the Satish Dhawan Space Centre?,1979,628,TEMPORAL,Is temporal,1979,year
Which year Satish Dhawan Space Centre named?,2002,628,TEMPORAL,Is temporal,2002,not defined
Which year is last launch?,1991,629,TEMPORAL,Is temporal,1991,not defined
Which year is first launch?,1977,629,TEMPORAL,Is temporal,1977,not defined
What year did the first launch from Site 200 occur?,1980,629,TEMPORAL,Is temporal,1980,year
What was the time difference between the first launch and the last launch at 200/39?,Almost 22 years,629,TEMPORAL,Is temporal,Almost 22 years,not defined
What was the time difference between the first and last launch at the site 200/40 site?,Almost 14 years,629,TEMPORAL,Is temporal,Almost 14 years,not defined
when did the inquest was occuring?,26 and 27 April 1882.,634,TEMPORAL,Is temporal,26 and 27 April 1882.,not defined
When was the last time that Blaze Riorden won a medal at the World Indoor Lacrosse Championship?,2019,642,TEMPORAL,Is temporal,2019,year
How many years apart were the medals that Blaze Riorden won at the World Indoor Lacrosse Championship?,4 years,642,TEMPORAL,Is temporal,4 years,year
When was the most recent time that Blaze Riorden was an all star in the PLL?,2021,642,TEMPORAL,Is temporal,2021,year
What was the age when Blaze Riorden won America East Defensive Player of the Year in 2016?,Age of 22,642,AGE,Is temporal,Age of 22,year
How many years ago Brandon Miller career started?,21 Years ago,644,TEMPORAL,Is temporal,21 Years ago,year
When was the first time that Brandon Miller was the Mann Cup Champion?,2002,644,TEMPORAL,Is temporal,2002,year
How long was it between when Brandon Miller won the Harry Lumley Trophy the first time and the last time?,12 years,644,TEMPORAL,Is temporal,12 years,year
What was the age when Brandon Miller won NLL All-Star award in 2007?,Age of 28,644,AGE,Is temporal,Age of 28,year
What years did Brandon Miller win more than one award?,"2007, 2008, 2013, 2014",644,TEMPORAL,Is temporal,"2007, 2008, 2013, 2014",year
When was the most recent time that Brandon Miller was the Mann Cup Champion?,2014,644,TEMPORAL,Is temporal,2014,year
When was the first time that Brandon Miller won the Harry Lumley Trophy?,2002,644,TEMPORAL,Is temporal,2002,year
At what age did Brandon Miller earn a spot on the 2nd Team All-Pro?,34,644,AGE,Is temporal,34,year
When Dylon Molloy started his career?,2017,655,TEMPORAL,Is temporal,2017,not defined
How long has Dylan Molloy been playing professionally?,5 years,655,TEMPORAL,Is temporal,5 years,year
How many years after winning the USILA player of the year did Dylan Molloy become a pro?,1,655,COUNT,Is temporal,1,year
How many years ago was Dylan Molloy the USILA Player of the Year?,6,655,COUNT,Is temporal,6,year
When was the first time that Frank Urso was an NCAA D-I Champion?,1975,656,TEMPORAL,Is temporal,1975,year
When was the most recent time that Frank Urso was on the All-American team?,1976,656,TEMPORAL,Is temporal,1976,year
How many years before Frank Urso began his pro career was he inducted into the U.S. Lacrosse Hall of Fame?,6,656,COUNT,Is temporal,6,year
What years did Frank Urso earn more than one title?,"1974, 1975, 1976",656,TEMPORAL,Is temporal,"1974, 1975, 1976",year
How long after Frank Urso earned his first NCAA D-1 Champion title did he compete in the World Lacross Championship?,1 year,656,TEMPORAL,Is temporal,1 year,year
How many years ago did Frank Urso awarded Division I Player of the Year?,47 years ago,656,TEMPORAL,Is temporal,47 years ago,year
When was the last time that Frank Urso was the Midfielder of the Year?,1976,656,TEMPORAL,Is temporal,1976,year
What year did Alicia Coutts win Olympic gold?,2012,665,TEMPORAL,Is temporal,2012,year
How old was Alicia Coutts when she won her gold medal in the 2012 Olympics?,25 years old,665,TEMPORAL,Is temporal,25 years old,year
What was age when Alicia Coutts won first gold medal in Pan Pacific Championships 2014?,27,665,AGE,Is temporal,27,not defined
How old was Carolijn Brouwer when she first competed in the ISAF World Youth Championships?,18,668,AGE,Is temporal,18,year
What was the last year that Carolijn Brouwer won a gold medal in the World Championships?,1998,668,TEMPORAL,Is temporal,1998,not defined
How old was Carolijn Brouwer when she won her last gold medal in the World Championships?,25 years old,668,TEMPORAL,Is temporal,25 years old,year
What year did Carolijn Brouwer win a silver medal representing Belgium in the World CHampionships?,2007,668,TEMPORAL,Is temporal,2007,year
What was the age when Carolijn Brouwer won first gold medal in ISAF World Youth Championships 1991?,Age of 18,668,AGE,Is temporal,Age of 18,year
How many years were there between Carolijn Brouwer competing for the Netherlands and Belgium?,6,668,COUNT,Is temporal,6,year
Which year did Charlotte Atkinson win the most of all medals combined?,2015,669,TEMPORAL,Is temporal,2015,not defined
What year did Charlotte Atkinson win the most gold medals?,2015,669,TEMPORAL,Is temporal,2015,year
What year did Charlotte Atkinson win her first bronze medal in the Island Games?,2011,669,TEMPORAL,Is temporal,2011,year
How old was Charlotte Atkinson when she won the gold in the European Championships?,22 years old,669,TEMPORAL,Is temporal,22 years old,year
How many years after winning a bronze medal in the Isle of Wight 200 m medley did Atkinson win a gold medal at the 2018 Glasgow 4×100 m mixed medley?,7,669,COUNT,Is temporal,7,year
In what year did Atkinson win the most gold medals?,2015,669,TEMPORAL,Is temporal,2015,year
How old was Atkinson when she won her first gold medal?,15,669,AGE,Is temporal,15,year
What was the age when Claire Leroy won first gold medal in 2007 World Championships?,Age of 27,671,AGE,Is temporal,Age of 27,year
How old was Claire Leroy When she won gold for the 2007 World Championships?,27 years old,671,TEMPORAL,Is temporal,27 years old,year
How many years apart were there when Claire Leroy won her gold World Championships medals?,1,671,COUNT,Is temporal,one,year
When did Claire Leroy win her most recent World Championships medal?,2011,671,TEMPORAL,Is temporal,2011,not defined
How many years did it take for Claire Leroy to win a gold medal after her first bronze medal?,3 years,671,TEMPORAL,Is temporal,3 years,year
How old was Claire Leroy when she won her first World Championships medal?,27,671,AGE,Is temporal,27,year
What year did Heiko Kroeger win a gold medal in the Olympics in Sydney?,2000,677,TEMPORAL,Is temporal,2000,year
How old was Heiko Kroeger when he won a gold medal in the 2000 Olympics?,34 years old,677,TEMPORAL,Is temporal,34 years old,year
What was the age when Heiko Kroeger was won first gold in Paralympic Games 2000?,Age of 34,677,AGE,Is temporal,Age of 34,year
How many years did Heiko Kroeger have before getting another medal after his gold medal in the 2000 Olympics?,12 years,677,TEMPORAL,Is temporal,12 years,year
When was Marina Alabau's most recent appearance in the European Championships?,2012,688,TEMPORAL,Is temporal,2012,not defined
What year did Marina Alabau play their first World Championships game in Women's sailboarding?,2009,688,TEMPORAL,Is temporal,2009,year
How old was Marina Alabau when she won gold in the 2012 Olympics?,27 years old,688,TEMPORAL,Is temporal,27 years old,year
What was the age when Marina Alabau  played in Olympic Games 2012?,Age of 27,688,AGE,Is temporal,Age of 27,year
How many years ago was Catch 22 published?,61,702,COUNT,Is temporal,61,year
The follow up to Catch-22 was published in what year?,1994,702,TEMPORAL,Is temporal,1994,year
When was the book Catch-22 first published?,1961,702,TEMPORAL,Is temporal,1961,year
How many years ago was Catch-22 published?,61 years,702,TEMPORAL,Is temporal,61 years,year
What year did the first edition hardback of Catch-22 release?,1961,702,TEMPORAL,Is temporal,1961,year
When did Catch-22 received its publication date?,"November 10, 1961",702,TEMPORAL,Is temporal,"November 10, 1961",not defined
Catch-22 was first printed when?,1961,702,UNKNOWN,Is temporal,1961,not defined
How long between Quadri's highest rank and his silver and the Commonwealth games?,4 years,710,TEMPORAL,Is temporal,4 years,year
What year did Aruna Quadri achieve his highest ranking?,2022,710,TEMPORAL,Is temporal,2022,year
How old was Aruna Quadri when he reached number 10?,33,710,AGE,Is temporal,33,year
How many months ago was Aruna Quadri's highest ranking?,1,710,COUNT,Is temporal,one,not defined
How old was Aruna Quadri when he won the silver in the 2018 Gold Coast Commonwealth Games?,30 years old,710,TEMPORAL,Is temporal,30 years old,year
How old was Quadri when he won the sliver at the Commonwealth Games?,30,710,AGE,Is temporal,30,year
How many months are between Quadri's current rank and his highest rank?,1,710,COUNT,Is temporal,1,not defined
What year did Aruna Quadri win a silver medal in the Commonwealth Games?,2018,710,TEMPORAL,Is temporal,2018,year
Which year founded in Valderøy Church?,1961,714,TEMPORAL,Is temporal,1961,not defined
When was Valderoy Church was founded?,1961,714,TEMPORAL,Is temporal,1961,not defined
When was Valderoy Church was Consecrated?,29 July 1961,714,TEMPORAL,Is temporal,29 July 1961,not defined
How many years ago did Valderøy Church was consecrated?,61 years ago,714,TEMPORAL,Is temporal,61 years ago,year
How long was the Valen Chapel open after completion?,166 years,715,TEMPORAL,Is temporal,166 years,year
How many years was the Valen Chapel completed when it was consecrated?,242 years,715,TEMPORAL,Is temporal,242 years,year
How long has the church been open in total?,239 years,715,TEMPORAL,Is temporal,239 years,year
What was the age of the church when it was consecrated?,242 years old,715,TEMPORAL,Is temporal,242 years old,year
When is Valen kapell church was found?,13th century,715,TEMPORAL,Is temporal,13th century,not defined
How old was the church when it intially closed?,166 years old,715,TEMPORAL,Is temporal,166 years old,year
When Valen kapell  was closed?,1873-1949,715,TEMPORAL,Is temporal,1873-1949,not defined
How long did it take for the consecration of the Valen Chapel take from the time it was closed?,76 years,715,TEMPORAL,Is temporal,76 years,year
How many days did All Hallows Twickenham was construction completed after ground breaking in 11 July 1939?,487 days,719,TEMPORAL,Is temporal,487 days,not defined
How many years ago did  All Hallows Twickenham was Designated as Grade I?,70 Years ago (1952),719,TEMPORAL,Is temporal,70 Years ago (1952),not defined
What year was the Palace of Westminster built?,1016,726,TEMPORAL,Is temporal,1016,year
What year did the Palace of Westminster become a World Historical Site?,2008,726,TEMPORAL,Is temporal,2008,year
How many years did it take to rebuild the Palace of Westminster?,36 years,726,TEMPORAL,Is temporal,36 years,year
How many years after its demolition did the rebuilding of the Palace of Westminster begin?,4,726,COUNT,Is temporal,4,year
How many years takes to rebuild Palace of Westminster?,36 years,726,TEMPORAL,Is temporal,36 years,year
How old was Palace of Westminster?,1006 years,726,TEMPORAL,Is temporal,1006 years,year
How many years after it was built did the Palace of Westminister catch on fire?,822,726,COUNT,Is temporal,822,year
How old was Timoshenko when he began skating?,5,735,AGE,Is temporal,5,year
How many years after Timoshenko began skating did he win his first gold medeal?,14,735,COUNT,Is temporal,14,year
How many years did Daria Timoshenko skate for Azerbaijan?,6 years,735,TEMPORAL,Is temporal,6 years,year
How old was Daria Timoshenko when she began skating?,5,735,AGE,Is temporal,5,year
How many years did Daria Timoshenko skate before retiring?,21 years,735,TEMPORAL,Is temporal,21 years,year
What year did Daria Timoshenko win a gold medal in the World Junior Championships?,1999,735,TEMPORAL,Is temporal,1999,year
At what age did Gorshkovabegin skating?,5 years old,743,TEMPORAL,Is temporal,5 years old,year
How many years after winning a bronze medal at the World Junior Championships did Gorshkova achvieve a personal best score for  Comp. dance?,2,743,COUNT,Is temporal,2,year
How long after Gorshkova began skating did she win her first medal?,14 years,743,TEMPORAL,Is temporal,14 years,year
How many total years (terms) does Joe Biden hold as Chair of the Senate Foreign Relations Committee?,6 years (2 terms),743,TEMPORAL,Is temporal,6 years (2 terms),not defined
How old was Kristina Gorshkova when she began skaing?,4 years old,743,TEMPORAL,Is temporal,4 years old,year
. Who was Joe Biden married to when he was first elected to the Senate?,44 years,743,TEMPORAL,Is temporal,44 years,year
How old was Gorshkova when she won a gold medal?,22,743,AGE,Is temporal,22,year
How long after Kristina Gorshkova began skating did she win her first medal in the Junior Grand Prix Final?,14 years,743,TEMPORAL,Is temporal,14 years,year
What year did Kristina Gorshkova win a gold medal at the Winter Universiade?,2011,743,TEMPORAL,Is temporal,2011,year
What was the age when Max Aaron began skating?,Age of 4,747,AGE,Is temporal,Age of 4,year
How many years after the second marriage did Joe Biden become POTUS?,44 years,747,TEMPORAL,Is temporal,44 years,year
How old was Aron when first began skating?,4,747,AGE,Is temporal,4,year
How long after achieving a personal best score for short program did Aron retire?,3 years,747,TEMPORAL,Is temporal,3 years,year
How old was Max Aaron when he began skating?,4 years old,747,TEMPORAL,Is temporal,4 years old,year
How long did Max Aaron skate before he retired in 2018?,22 years,747,TEMPORAL,Is temporal,22 years,year
How many days ago did Max Aaron was retired?,1704 days ago,747,TEMPORAL,Is temporal,1704 days ago,not defined
What was the time span between all medals that Shabalin won?,2000-01 and 2010,748,TEMPORAL,Is temporal,2000-01 and 2010,not defined
What was Shabalin's age when he won his sole Olympic medal?,28,748,UNKNOWN,Is temporal,28,not defined
When did Maxim Shabalin last win a medal in the European Championships?,2010,748,TEMPORAL,Is temporal,2010,not defined
When was the first time that Maxim Shabalin won a medal in the World Junior Championships?,2001,748,TEMPORAL,Is temporal,2001,year
How old was Maxim Shabalin when he began skating?,5,748,AGE,Is temporal,5,year
What was age when Maxim Shabalin was began skating?,Age of 5 (1987),748,AGE,Is temporal,Age of 5 (1987),not defined
How long did the second renovation of the Birmingham–Jefferson Convention Complex take?,3 years,751,TEMPORAL,Is temporal,3 years,year
How many years did Birmingham–Jefferson Convention Complex was functional before Renovated in 2009?,37 Years,751,TEMPORAL,Is temporal,37 Years,year
How long after the Birmingham–Jefferson Convention Complex was opened was it first renovated?,37 years,751,TEMPORAL,Is temporal,37 years,year
When was the first renovation of the Birmingham–Jefferson Convention Complex?,2009,751,TEMPORAL,Is temporal,2009,year
How many years longer was the second renovation than the first of the Birmingham–Jefferson Convention Complex?,2,751,COUNT,Is temporal,2,year
What was the first date someone could enter the Birmingham–Jefferson Convention Complex?,1972,751,UNKNOWN,Is temporal,1972,not defined
How long after Miloš Obrenović 's reign as Grand Vožd of Serbia ended did his second reign as Prince of Serbia begin?,41 years,765,TEMPORAL,Is temporal,41 years,year
How many years elapsed between reigns of Prince of Serbia for Miloš Obrenović I?,19 years,765,TEMPORAL,Is temporal,19 years,year
How many years was Miloš Obrenović I reign in which Karađorđe was his successor last?,2 years,765,TEMPORAL,Is temporal,2 years,year
How many years ago did Miloš Obrenović I was died?,207 Years ago,765,TEMPORAL,Is temporal,207 Years ago,year
How many years before his death did Miloš Obrenović I begin his second reign as the Prince of Serbia?,2,765,COUNT,Is temporal,2,year
How much longer was Miloš Obrenović 's first reign as Prince of Serbia and his reign as Grand Vožd of Serbia?,20 years,765,TEMPORAL,Is temporal,20 years,year
How many years did Bev Francis was debuted his first match?,39 Years ago,778,TEMPORAL,Is temporal,39 Years ago,year
How long was the career of Bev Francis?,8 years,778,TEMPORAL,Is temporal,8 years,year
How long was Bev Francis's professional career?,8 years,778,TEMPORAL,Is temporal,8 years,year
How many years after her best win did Bev Francis retire?,4 years,778,TEMPORAL,Is temporal,4 years,year
How old was Bev Francis when she made her pro-debut in 1983?,28 years old,778,TEMPORAL,Is temporal,28 years old,year
How old was Bev Francis when she turned pro?,28,778,AGE,Is temporal,28,year
What was the age when Bev Francis was retired from his career?,Age of 36,778,AGE,Is temporal,Age of 36,year
How many years between Bev Francis Pro-debut in 1983 and her best win?,4 years,778,TEMPORAL,Is temporal,4 years,year
How many years after turning 18 did Pettersen win a gold medal at the Junior World Championships?,1,781,COUNT,Is temporal,1,year
How many years were between Pettersen's first gold medal and his last?,4,781,COUNT,Is temporal,4,year
What year did Brit Pettersen make her World Cup appearance?,1982,781,TEMPORAL,Is temporal,1982,year
How many years did Brit Pettersen attend the World Cup?,7,781,COUNT,Is temporal,7,year
What year did Henrieta Farkašová win a bronze medal in the Sochi Olympics?,2014,791,TEMPORAL,Is temporal,2014,year
How old was Henrieta Farkašová when she won a gold medal in the 2022 Olympics?,36 years old,791,TEMPORAL,Is temporal,36 years old,year
When was the most recent date that Henrieta Farkašová won a medal in the World Championships?,2021,791,TEMPORAL,Is temporal,2021,year
When was the first time that Henrieta Farkašová won a medal in any competition?,2009,791,TEMPORAL,Is temporal,2009,year
When was the first time that Henrieta Farkašová won a gold medal in the World Championships?,2009,791,TEMPORAL,Is temporal,2009,year
What was the age when Henrieta Farkašová was first played in IPC Alpine Skiing World Championships 2009?,Age of 23,791,AGE,Is temporal,Age of 23,year
What year did Henrieta Farkašová win her first gold medal in the Paralympic Games?,2010,791,TEMPORAL,Is temporal,2010,year
How old was Henrieta Farkašová when she won her last gold medal in the 2022 Beijing Games?,36 years old,791,TEMPORAL,Is temporal,36 years old,year
In what year did  Kaija Parve-Helinurm the most medals?,1985,793,TEMPORAL,Is temporal,1985,year
What year did Kaija Parve win her last gold medal in the World Championships?,1988,793,TEMPORAL,Is temporal,1988,year
How many years in a row did Kaija Parve win a gold medal in the Women's biathlon?,5,793,COUNT,Is temporal,5,year
How old was Kaija Parve when she went to her first World Cup?,20 years old,793,TEMPORAL,Is temporal,20 years old,year
How old was Kaija Parve when she won her last gold medal in the 1988 Chamonix World Championships?,24 years old,793,TEMPORAL,Is temporal,24 years old,year
How old was Marja-Liisa Kirvesniemi when she first won an Olympic gold medal?,29,804,AGE,Is temporal,29,year
When was the age when Marja-Liisa Kirvesniemi won first gold medal in 1978 World Championships?,Age of 23,804,UNKNOWN,Is temporal,Age of 23,year
How old was Marja-Liisa Kirvesniemi when she got divorced?,56,804,AGE,Is temporal,56,year
How many years was Marja-Liisa Kirvesniemi married to Harri Kirvesniemi?,27 years,804,TEMPORAL,Is temporal,27 years,year
How many years did Melissa L. Coates work professionally?,18 years,806,TEMPORAL,Is temporal,18 years,year
How many days ago did Melissa L. Coates was died?,551 days ago,806,TEMPORAL,Is temporal,551 days ago,not defined
What was the age when Melissa L. Coates retired from Wrestling?,Age of 49,806,AGE,Is temporal,Age of 49,year
How many years did Melissa L. Coates played Professional Wrestling?,24 Years,806,TEMPORAL,Is temporal,24 Years,year
How long after Melissa Coates retired did she pass away?,1 year,806,TEMPORAL,Is temporal,1 year,year
What age was Melissa Coates when she debuted at the IFBB Jan Tana Classic?,25,806,AGE,Is temporal,25,not defined
How many years after retiring did Melissa L. Coates die?,1 year,806,TEMPORAL,Is temporal,1 year,year
How old was Melissa L. Coates when her professional career started?,31,806,AGE,Is temporal,31,year
How old was Ambrose Rayappan when he became Archbishop Emeritus of Pondicherry and Cuddalore?,52 years,817,TEMPORAL,Is temporal,52 years,year
How long after his term as Archbishop Emeritus of Pondicherry and Cuddalore did Ambrose Rayappan die?,26 years,817,TEMPORAL,Is temporal,26 years,year
How long did Ambrose Rayappan serve as Archbishop Emeritus of Pondicherry and Cuddalore?,20 years,817,TEMPORAL,Is temporal,20 years,year
How many years after his term ended did Ambrose Rayappan die?,26,817,COUNT,Is temporal,26,year
How many years passed between Ambrose Rayappan's ordination and consecration?,19,817,COUNT,Is temporal,19,year
How old was Ambrose Rayappan when he was ordained?,22,817,AGE,Is temporal,22,year
How many years ago did Ambrose Rayappan was died?,23 Years ago,817,TEMPORAL,Is temporal,23 Years ago,year
How many years did Ambrose Rayappan was worked as Archbishop Emeritus of Pondicherry and Cuddalore from 1953?,20 Years,817,TEMPORAL,Is temporal,20 Years,year
How old was Alojzije Mišić when he became the Bishop of Mostar-Duvno and Apostolic Administrator of Trebinje-Mrkan?,53 years old,824,TEMPORAL,Is temporal,53 years old,year
How long after Alojzije Mišić was ordained did he become the Bishop of Mostar-Duvno and Apostolic Administrator of Trebinje-Mrkan?,30 years,824,TEMPORAL,Is temporal,30 years,year
What was the time.between Music's ordination and consecration?,Nearly 30 years,824,TEMPORAL,Is temporal,Nearly 30 years,not defined
How long was Music's bishop term for?,Nearly 30 years,824,TEMPORAL,Is temporal,Nearly 30 years,not defined
How long was the longest tenure of another post Music ever held?,10 years,824,TEMPORAL,Is temporal,10 years,year
How old was Alojzije Mišić when he was conscecrated?,53 years old,824,TEMPORAL,Is temporal,53 years old,year
How many years did Alojzije Mišić serve as the Bishop of Mostar-Duvno?,30,824,COUNT,Is temporal,30,year
How many years was Alojzije Mišić the Bishop of Mostar-Duvno and Apostolic Administrator of Trebinje-Mrkan?,30 years,824,TEMPORAL,Is temporal,30 years,year
How many years after Alphonse Gallegos ordination was his consecration?,23 years,829,TEMPORAL,Is temporal,23 years,year
How old was Alphonse Gallegos when he became Auxiliary Bishop of Sacramento?,60 years old,829,TEMPORAL,Is temporal,60 years old,year
How old was Alphonse Gallegos when he was ordained?,27,829,AGE,Is temporal,27,year
How many years before Alphonse Gallegos died was he consecrated?,10,829,COUNT,Is temporal,10,year
"When Alphonse Gallegos was Auxiliary Bishop of Sacramento, for how many years was he also Titular Bishop of Sasabe?",10,829,COUNT,Is temporal,10,not defined
How many years did Alphonse Gallegos was worked as Auxiliary Bishop of Sacramento?,10 Years,829,TEMPORAL,Is temporal,10 Years,year
"How many years ago did Alphonse Gallegos was died in Sacramento, California, United States?",31 Years ago,829,TEMPORAL,Is temporal,31 Years ago,year
What was the age when Alphonse Gallegos was appointed as Auxiliary Bishop of Sacramento in 1981?,Age of 50,829,AGE,Is temporal,Age of 50,year
How long did Alphonse Gallegos serve as Auxiliary Bishop of Sacramento?,10 years,829,TEMPORAL,Is temporal,10 years,year
How many years longer was Riguccini on team Balistic than X1 Boxing?,10,840,COUNT,Is temporal,10,year
How old was Alessandro Riguccini when he began his career in 1999?,11 years old,840,TEMPORAL,Is temporal,11 years old,year
How many years has Alessandro Riguccini been active in his career?,23 years,840,TEMPORAL,Is temporal,23 years,year
How long was Alessandro Riguccini with his second team?,2 years,840,TEMPORAL,Is temporal,2 years,year
When did Alessandro Riguccini's martial arts career start?,1999,840,TEMPORAL,Is temporal,1999,not defined
How long after becoming active did Riguccini join Zanfer Promotions?,13 years,840,TEMPORAL,Is temporal,13 years,year
How old was Riguccini when he became active as a fighter?,11,840,AGE,Is temporal,11,year
What year was Bustamantel's most decorated?,1998,849,TEMPORAL,Is temporal,1998,year
How many years has it been since Bustamante has fought?,10,849,COUNT,Is temporal,Ten,year
How many years was Murilo Bustamante active in the MMA?,21,849,COUNT,Is temporal,21,year
What was Murilo Bustamante's age when he attended the Brazilian National Championship for the first time?,30,849,UNKNOWN,Is temporal,30,not defined
How old was Murilo Bustamante when he won the gold medal in the 1999 Brazilian National Championship?,33 years old,849,TEMPORAL,Is temporal,33 years old,year
How old was Murilo Bustamante when he began his MMA career?,25 years old,849,TEMPORAL,Is temporal,25 years old,year
How many years was Murilo Bustamante active in his MMA career?,21 years,849,TEMPORAL,Is temporal,21 years,year
How old was Mohammad Yamin when he took office as 6th Minister of Law,47,861,AGE,Is temporal,47,year
How much longer was Yamin in office as 8th Minister of National Education than 6th Minister of Law?,1 year,861,TEMPORAL,Is temporal,1 year,year
How long after leaving office as 8th Minister of National Education did Yamin take office as 14th Minister of Information?,7 years,861,TEMPORAL,Is temporal,7 years,year
How many years did Mohammad Yamin serve as Minister of National Education?,2 years,861,TEMPORAL,Is temporal,2 years,year
How many days did Mohammad Yamin was in minister of law?,342 days,861,TEMPORAL,Is temporal,342 days,not defined
What was the age when Mohammad Yamin was Minister of National Education in 1953?,Age of 50,861,AGE,Is temporal,Age of 50,year
How old was Mohammad Yamin when he became Minister of Information?,59 years old,861,TEMPORAL,Is temporal,59 years old,year
For how many years was Arnold Schwarzenegger the governor of California?,8,866,COUNT,Is temporal,8,year
How old was Arnold Schwarzenegger when he got married?,29,866,AGE,Is temporal,29,year
How long was Arnold Schwarzenegger married for?,35,866,UNKNOWN,Is temporal,35,not defined
How many years did Arnold Schwarzenegger was worked as Governor of California?,8 Years,866,TEMPORAL,Is temporal,8 Years,year
How many years ago did Arnold Schwarzenegger was served in military?,57 Years ago,866,TEMPORAL,Is temporal,57 Years ago,year
When was Arnold Schwarzenegger born?,"July 30, 1947(age 75) Thal, Styria, Allied-occupied Austria",866,TEMPORAL,Is temporal,"July 30, 1947(age 75) Thal, Styria, Allied-occupied Austria",not defined
For how long was Richard Caswell married to his wife?,5 years,904,TEMPORAL,Is temporal,5 years,year
How much longer was Caswell's term as 1st Governor of North Carolina than his term as 2nd Grand Master of the Masons of North Carolina?,3 years,904,TEMPORAL,Is temporal,3 years,year
How old was Richard Caswell when he married Sarah Herritage?,29,904,AGE,Is temporal,29,year
How old was Richard Caswell when he got married?,23,904,AGE,Is temporal,23,year
How long after the death of his first wife did Caswell die?,42 years,904,TEMPORAL,Is temporal,42 years,year
When did Richard Caswell get into politics?,1776,904,TEMPORAL,Is temporal,1776,not defined
What year did Aslam Watanjar begin serving as Minister of Communications?,1980,913,TEMPORAL,Is temporal,1980,year
How old was Aslam Watanjar when he finally stopped serving the Afghanistan Army?,46,913,AGE,Is temporal,46,year
How many years did Aslam Watanjar serve in the military?,33 years,913,TEMPORAL,Is temporal,33 years,year
How old was Aslam Watanjar when he took office as the Minister of Defence?,44,913,AGE,Is temporal,44,year
How many years was Aslam Watanjar Minister of Defense?,2 years,913,TEMPORAL,Is temporal,2 years,year
How much longer was Watanjar in office during his third term as Minister of Internal Affairs than his first term?,1 year,913,TEMPORAL,Is temporal,1 year,year
How long after beginning his military service did Watanjar first take office as Minister of Communications?,11 years,913,TEMPORAL,Is temporal,11 years,year
How old was Watanjar when he took office as Minister of Defence?,44,913,AGE,Is temporal,44,year
How old was Theo Bot when he last served as Permanent Representative of the Netherlands to the IAEA?,65 years old,915,TEMPORAL,Is temporal,65 years old,year
How old was Theo Bot when he married Elisabeth van Hal?,25 years old,915,TEMPORAL,Is temporal,25 years old,year
How many years did Theo Bot serve as Ambassador of the Netherlands to Austria?,3 years,915,TEMPORAL,Is temporal,3 years,year
How long after Bot's son Ben was born did he take office as State Secretary for the Interior?,22 years,915,TEMPORAL,Is temporal,22 years,year
How old was Theo Bot when he served in active duty in the East Indies Army?,29,915,AGE,Is temporal,29,year
"How much longer was Theo Bot in office as Ambassador of the Netherlands to Canada than Minister of Education, Arts and Sciences?",3 years,915,TEMPORAL,Is temporal,3 years,year
How many years was Theo Bot in the Reserve before going to active duty?,4,915,COUNT,Is temporal,four,year
How many months was Theo Bot Ambassador to Austria?,37,915,COUNT,Is temporal,37,not defined
At what age did Theo Bot become Ambassador to Canada?,56,915,AGE,Is temporal,56,year
